serial_number,date,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_7,sensor_8,sensor_10,sensor_11,sensor_13,sensor_14,sensor_15,failure
100,181,-0.001,0.0,642.94,1586.09,553.9,2388.02,1.3,47.53,2388.03,8193.03,8.4124,1
100,182,-0.0027,-0.0001,642.28,1598.05,553.85,2388.05,1.3,47.63,2388.03,8193.05,8.4333,1
100,183,0.0009,0.0001,642.78,1595.34,553.51,2388.03,1.3,47.53,2388.05,8197.42,8.4463,1
100,184,0.0001,-0.0004,642.6,1595.89,553.2,2388.05,1.3,47.7,2388.06,8197.66,8.4568,1
100,185,0.0032,0.0004,642.84,1592.18,552.87,2388.01,1.3,47.8,2388.0,8195.29,8.4424,1
100,186,-0.0025,0.0005,643.38,1592.04,553.62,2388.06,1.3,47.66,2388.02,8203.03,8.4802,1
100,187,0.0019,0.0002,642.4,1595.19,552.9,2388.02,1.3,47.84,2388.05,8197.56,8.4632,1
100,188,0.001,0.0005,643.35,1589.88,552.96,2388.03,1.3,47.52,2388.06,8206.25,8.4457,1
100,189,-0.0003,0.0002,643.29,1592.33,553.59,2388.06,1.3,47.55,2388.09,8209.84,8.4423,1
100,190,-0.0038,0.0002,642.95,1598.97,553.59,2388.1,1.3,47.49,2388.07,8207.95,8.4765,1
100,191,-0.0031,-0.0001,642.92,1589.54,553.24,2388.02,1.3,47.61,2388.07,8201.94,8.4877,1
100,192,-0.0034,0.0001,643.05,1598.18,553.16,2388.05,1.3,47.57,2388.07,8210.24,8.4171,1
100,193,0.0018,0.0004,643.1,1595.6,553.18,2388.08,1.3,47.58,2388.05,8213.57,8.4429,1
100,194,0.0049,0.0,643.24,1599.45,553.41,2388.02,1.3,47.69,2388.0,8213.28,8.4715,1
100,195,-0.0011,-0.0001,643.22,1595.69,553.22,2388.05,1.3,47.6,2388.09,8210.85,8.4512,1
100,196,-0.0006,-0.0003,643.44,1593.15,553.04,2388.11,1.3,47.57,2388.04,8217.24,8.4569,1
100,197,-0.0038,0.0001,643.26,1594.99,553.37,2388.07,1.3,47.61,2388.08,8220.48,8.4711,1
100,198,0.0013,0.0003,642.95,1601.62,552.48,2388.06,1.3,47.8,2388.05,8214.64,8.4903,1
100_good,1,0.0014,0.0003,641.65,1591.5,554.7,2388.05,1.3,47.28,2388.02,8138.54,8.4067,0
100_good,2,0.0031,0.0001,642.2,1588.99,554.05,2387.99,1.3,47.18,2388.07,8137.35,8.4291,0
100_good,3,-0.0,0.0001,642.27,1587.47,554.85,2388.11,1.3,47.11,2388.03,8134.63,8.4039,0
100_good,4,0.0011,0.0001,642.07,1579.17,554.05,2388.01,1.3,47.26,2388.0,8139.06,8.4057,0
100_good,5,-0.0011,0.0005,642.01,1589.7,553.57,2388.01,1.3,47.3,2388.02,8130.34,8.4237,0
100_good,6,0.0008,-0.0002,642.41,1580.07,555.02,2388.02,1.3,47.32,2388.08,8136.43,8.4053,0
100_good,7,-0.0014,0.0,641.9,1589.14,554.55,2388.03,1.3,47.19,2388.04,8135.22,8.4225,0
100_good,8,0.0033,-0.0004,641.92,1588.22,554.13,2388.04,1.3,47.32,2388.01,8136.65,8.385,0
100_good,9,0.0011,0.0004,642.81,1579.51,553.81,2388.01,1.3,47.18,2388.03,8139.68,8.3772,0
100_good,10,0.0032,0.0004,641.86,1586.45,554.35,2388.05,1.3,47.15,2388.0,8133.74,8.4005,0
100_good,11,-0.0051,0.0004,642.27,1580.48,554.23,2388.06,1.3,47.24,2388.02,8134.09,8.4055,0
100_good,12,-0.0014,-0.0004,642.24,1585.75,553.66,2387.97,1.3,47.35,2388.05,8136.07,8.3946,0
100_good,13,-0.0029,0.0003,641.73,1585.52,553.76,2388.09,1.3,47.28,2388.01,8137.01,8.4296,0
100_good,14,-0.0014,0.0005,642.88,1580.0,554.84,2388.07,1.3,47.41,2388.07,8139.82,8.4417,0
100_good,15,-0.0007,0.0003,642.57,1590.32,553.67,2388.09,1.3,47.11,2388.01,8135.33,8.3945,0
100_good,16,-0.0024,0.0002,641.88,1583.27,554.17,2388.04,1.3,47.3,2387.99,8140.89,8.4415,0
100_good,17,0.0011,0.0001,642.51,1585.97,553.99,2388.06,1.3,47.2,2388.0,8130.46,8.4131,0
100_good,18,-0.0003,0.0003,642.01,1588.29,554.79,2387.99,1.3,47.31,2388.04,8136.89,8.4076,0
100_good,19,0.0008,-0.0003,642.33,1590.21,554.25,2388.07,1.3,47.2,2388.02,8144.25,8.3817,0
100_good,20,-0.0001,-0.0003,642.42,1581.63,554.13,2388.05,1.3,47.18,2388.03,8138.57,8.39,0
100_good,21,0.0019,0.0004,641.68,1588.12,554.3,2388.07,1.3,47.25,2387.98,8130.88,8.3843,0
100_good,22,0.0007,-0.0003,642.12,1578.7,554.51,2388.09,1.3,47.22,2388.05,8133.15,8.4223,0
100_good,23,-0.0017,-0.0003,642.58,1583.1,554.71,2388.04,1.3,47.43,2388.08,8138.11,8.3948,0
100_good,24,0.0006,0.0002,642.63,1582.93,554.34,2388.07,1.3,47.26,2388.0,8132.74,8.4041,0
100_good,25,-0.0029,-0.0003,642.03,1585.45,553.84,2388.04,1.3,47.25,2388.01,8134.11,8.4169,0
100_good,26,-0.001,-0.0002,641.94,1587.41,553.84,2388.02,1.3,47.25,2388.03,8140.44,8.395,0
100_good,27,-0.0009,-0.0002,642.26,1585.74,554.28,2388.05,1.3,47.24,2388.02,8144.31,8.387,0
100_good,28,-0.0023,0.0002,641.92,1582.94,554.18,2388.02,1.3,47.39,2388.05,8137.18,8.4518,0
100_good,29,-0.0014,0.0005,642.5,1581.81,554.33,2388.04,1.3,47.32,2388.01,8137.96,8.4153,0
100_good,30,-0.0008,-0.0004,642.28,1582.86,554.03,2388.08,1.3,47.22,2388.01,8137.14,8.4146,0
100_good,31,-0.0021,-0.0004,641.75,1584.6,554.38,2388.05,1.3,47.24,2388.0,8137.31,8.4014,0
100_good,32,0.0033,0.0001,642.03,1584.83,553.77,2388.01,1.3,47.33,2388.05,8133.78,8.407,0
100_good,33,0.0027,-0.0004,642.15,1582.97,554.05,2388.05,1.3,47.21,2388.02,8137.96,8.3679,0
100_good,34,0.0037,-0.0002,642.35,1584.48,553.91,2388.08,1.3,47.02,2388.01,8144.3,8.4278,0
100_good,35,-0.0009,0.0001,641.78,1586.3,554.11,2388.09,1.3,47.36,2388.04,8134.4,8.3962,0
100_good,36,0.0003,0.0002,642.29,1592.51,554.38,2388.01,1.3,47.14,2388.06,8135.47,8.3882,0
100_good,37,0.0016,0.0002,642.09,1582.6,554.44,2388.0,1.3,47.33,2388.01,8136.79,8.4425,0
100_good,38,0.003,0.0002,642.28,1582.07,554.01,2388.04,1.3,47.26,2388.08,8142.96,8.4257,0
100_good,39,-0.0002,0.0005,642.2,1582.3,554.35,2387.99,1.3,47.11,2388.01,8138.45,8.377,0
100_good,40,0.0016,0.0004,641.92,1580.46,554.8,2387.99,1.3,47.06,2388.03,8133.67,8.4099,0
100_good,41,-0.0002,0.0005,642.64,1582.87,554.2,2388.06,1.3,47.43,2388.05,8138.59,8.3758,0
100_good,42,0.0008,-0.0002,641.97,1582.2,554.61,2388.03,1.3,47.09,2388.02,8138.88,8.4147,0
100_good,43,-0.0001,0.0004,642.23,1583.14,554.4,2388.03,1.3,47.33,2388.04,8136.08,8.376,0
100_good,44,0.0018,0.0004,642.03,1587.49,554.06,2388.04,1.3,47.34,2388.08,8140.59,8.4602,0
100_good,45,-0.0006,-0.0002,642.35,1590.78,554.77,2388.0,1.3,47.19,2388.03,8138.63,8.4228,0
100_good,46,-0.0003,-0.0001,641.89,1589.38,553.66,2388.05,1.3,47.34,2388.05,8133.46,8.413,0
100_good,47,-0.0019,-0.0003,642.08,1587.53,554.01,2388.06,1.3,47.32,2388.04,8137.19,8.3913,0
100_good,48,0.0006,0.0004,642.58,1585.05,554.16,2388.01,1.3,47.19,2388.06,8138.46,8.413,0
100_good,49,-0.0012,0.0002,641.99,1581.69,554.05,2388.05,1.3,47.23,2388.0,8138.52,8.4298,0
100_good,50,-0.0008,-0.0005,642.49,1587.36,554.17,2388.05,1.3,47.5,2388.03,8138.22,8.4363,0
100_good,51,-0.0013,-0.0003,641.88,1585.62,554.55,2387.97,1.3,47.21,2387.99,8139.44,8.3836,0
100_good,52,0.0025,-0.0004,642.41,1582.45,554.22,2388.11,1.3,47.18,2388.03,8140.03,8.3563,0
100_good,53,-0.0009,0.0001,642.21,1592.82,554.32,2388.0,1.3,47.35,2388.03,8135.55,8.4105,0
100_good,54,-0.0005,0.0005,642.46,1576.35,554.52,2388.02,1.3,47.19,2388.04,8135.12,8.3756,0
100_good,55,-0.0009,-0.0003,641.6,1587.48,554.1,2388.08,1.3,47.29,2388.04,8139.6,8.4241,0
100_good,56,-0.0012,0.0003,642.19,1586.93,554.1,2388.03,1.3,47.12,2388.05,8139.59,8.3749,0
100_good,57,0.0013,-0.0002,642.21,1591.18,553.85,2388.05,1.3,47.23,2388.07,8136.23,8.4056,0
100_good,58,-0.0038,0.0003,642.15,1587.87,553.87,2388.04,1.3,47.25,2388.08,8139.59,8.3734,0
100_good,59,0.0029,0.0001,642.35,1580.34,554.34,2388.03,1.3,47.24,2388.03,8140.67,8.3961,0
100_good,60,0.0031,0.0002,641.68,1587.41,554.05,2388.03,1.3,47.46,2388.03,8137.07,8.395,0
100_good,61,0.001,-0.0003,641.95,1590.2,554.52,2388.03,1.3,47.54,2388.05,8135.15,8.3737,0
100_good,62,-0.0016,0.0003,641.83,1581.17,554.23,2388.05,1.3,47.24,2388.04,8138.63,8.4216,0
100_good,63,0.0014,0.0002,642.45,1591.72,554.78,2388.06,1.3,47.29,2388.03,8141.86,8.4407,0
100_good,64,0.0003,0.0004,642.48,1585.55,553.8,2388.05,1.3,47.3,2388.05,8143.42,8.3909,0
100_good,65,-0.0039,0.0005,642.27,1589.34,554.52,2388.05,1.3,47.2,2388.05,8138.76,8.4328,0
100_good,66,-0.0019,0.0005,642.01,1588.18,554.79,2388.04,1.3,47.16,2388.02,8140.59,8.4058,0
100_good,67,-0.0046,-0.0001,641.79,1582.01,554.75,2388.03,1.3,47.28,2388.0,8140.15,8.3738,0
100_good,68,0.0057,0.0004,642.35,1589.29,554.25,2388.05,1.3,47.33,2388.02,8134.58,8.418,0
100_good,69,-0.0006,0.0003,642.31,1585.0,554.47,2388.09,1.3,47.29,2388.02,8141.4,8.3997,0
100_good,70,-0.0044,0.0004,642.04,1579.83,553.99,2388.05,1.3,47.33,2388.01,8140.52,8.4552,0
100_good,71,0.0017,0.0003,642.08,1580.18,553.8,2388.05,1.3,47.39,2388.03,8138.11,8.4574,0
100_good,72,0.0005,-0.0004,642.31,1591.84,553.17,2388.04,1.3,47.33,2388.03,8139.32,8.393,0
100_good,73,-0.0003,0.0004,642.21,1586.63,554.06,2388.07,1.3,47.19,2388.01,8138.64,8.4052,0
100_good,74,0.0007,0.0001,642.6,1585.82,554.36,2388.07,1.3,47.22,2388.06,8141.65,8.3414,0
100_good,75,0.0008,0.0001,642.28,1589.28,554.48,2388.0,1.3,47.17,2388.04,8140.22,8.4144,0
100_good,76,0.0002,-0.0004,642.27,1590.34,553.92,2388.03,1.3,47.52,2388.06,8142.62,8.4071,0
100_good,77,0.0014,-0.0004,642.59,1584.19,553.93,2388.05,1.3,47.45,2388.07,8143.01,8.4149,0
100_good,78,0.0014,0.0002,642.17,1587.11,554.34,2387.99,1.3,47.15,2388.02,8142.64,8.4154,0
100_good,79,0.0017,0.0004,642.06,1584.66,554.3,2387.99,1.3,47.42,2387.99,8143.02,8.4508,0
100_good,80,-0.0021,-0.0004,641.99,1591.04,554.79,2388.07,1.3,47.18,2388.01,8141.41,8.4112,0
100_good,81,0.0026,0.0004,642.17,1590.81,554.23,2388.04,1.3,47.34,2388.01,8136.17,8.415,0
100_good,82,0.0007,0.0002,642.71,1586.73,554.46,2387.98,1.3,47.09,2388.08,8142.8,8.3945,0
100_good,83,0.0021,-0.0,642.21,1584.87,554.41,2388.0,1.3,47.22,2387.99,8135.35,8.4149,0
100_good,84,-0.0034,0.0003,642.0,1579.33,554.51,2388.05,1.3,47.26,2388.04,8144.47,8.4096,0
100_good,85,0.0001,-0.0002,641.74,1584.58,554.53,2388.05,1.3,47.29,2387.98,8136.27,8.3917,0
100_good,86,-0.0031,-0.0005,642.66,1580.71,554.07,2388.04,1.3,47.33,2388.04,8142.99,8.4152,0
100_good,87,-0.0015,-0.0003,642.27,1587.08,554.24,2388.03,1.3,47.33,2388.07,8140.75,8.3907,0
100_good,88,-0.0042,-0.0001,642.18,1578.68,554.24,2388.04,1.3,47.31,2388.1,8143.51,8.3862,0
100_good,89,0.001,0.0001,642.6,1586.74,554.21,2388.05,1.3,47.26,2388.0,8145.29,8.4067,0
100_good,90,-0.0027,0.0005,642.33,1591.78,554.47,2387.99,1.3,47.28,2388.01,8139.06,8.421,0
100_good,91,0.0005,0.0005,642.53,1579.99,554.16,2388.04,1.3,47.24,2388.02,8150.74,8.3939,0
100_good,92,-0.0022,-0.0003,642.83,1589.46,554.53,2388.06,1.3,47.21,2388.04,8137.01,8.3982,0
100_good,93,-0.0009,0.0004,642.29,1587.48,554.34,2388.05,1.3,47.31,2388.04,8145.55,8.4739,0
100_good,94,-0.0034,-0.0003,642.05,1586.69,553.41,2388.01,1.3,47.24,2388.01,8136.81,8.4102,0
100_good,95,-0.0007,-0.0002,642.34,1590.51,554.3,2388.04,1.3,47.27,2388.12,8145.64,8.432,0
100_good,96,0.0007,-0.0002,642.24,1590.9,553.96,2388.07,1.3,47.32,2388.07,8144.36,8.4025,0
100_good,97,-0.0006,0.0,642.3,1584.97,554.63,2388.02,1.3,47.35,2388.03,8145.08,8.4033,0
100_good,98,0.0014,-0.0003,642.48,1588.33,554.11,2388.03,1.3,47.33,2387.98,8138.49,8.4223,0
100_good,99,0.0038,-0.0004,642.31,1579.08,554.23,2388.06,1.3,47.42,2388.02,8142.69,8.4008,0
100_good,100,0.0018,-0.0,642.62,1587.32,554.48,2388.04,1.3,47.28,2388.05,8143.47,8.4119,0
100_good,101,0.0028,0.0004,642.28,1588.91,553.79,2388.04,1.3,47.1,2388.03,8142.26,8.3581,0
100_good,102,0.0005,-0.0001,641.86,1586.63,553.77,2388.03,1.3,47.29,2388.01,8139.38,8.4149,0
100_good,103,0.0007,0.0,642.38,1584.9,553.64,2388.01,1.3,47.19,2388.01,8148.92,8.3945,0
100_good,104,0.0035,0.0004,642.06,1585.62,554.24,2388.02,1.3,47.36,2388.02,8151.73,8.3927,0
100_good,105,0.0022,-0.0002,642.3,1588.65,554.4,2388.04,1.3,47.22,2388.01,8152.97,8.411,0
100_good,106,0.0016,-0.0002,642.47,1586.63,554.09,2388.01,1.3,47.26,2388.06,8146.21,8.4202,0
100_good,107,0.0013,0.0005,642.83,1588.58,553.44,2388.06,1.3,47.28,2388.0,8149.81,8.4114,0
100_good,108,-0.0008,-0.0001,642.0,1588.06,554.08,2388.1,1.3,47.24,2388.06,8148.53,8.3822,0
100_good,109,-0.0033,0.0002,642.11,1585.93,553.7,2388.04,1.3,47.35,2388.1,8148.03,8.4171,0
100_good,110,0.0015,-0.0002,642.25,1586.55,553.65,2387.99,1.3,47.27,2388.04,8148.46,8.422,0
100_good,111,-0.0007,-0.0,642.23,1581.95,553.65,2388.03,1.3,47.35,2387.98,8148.22,8.4004,0
100_good,112,0.0013,-0.0003,641.71,1594.06,554.03,2388.03,1.3,47.37,2388.07,8140.07,8.4401,0
100_good,113,0.0003,0.0003,642.44,1585.85,554.68,2388.0,1.3,47.3,2388.03,8149.32,8.4111,0
100_good,114,0.0035,-0.0003,642.21,1583.17,553.93,2388.08,1.3,47.31,2388.05,8146.37,8.4234,0
100_good,115,0.0004,-0.0004,642.4,1587.2,553.99,2388.07,1.3,47.42,2388.07,8148.53,8.4174,0
100_good,116,-0.0,-0.0003,641.91,1588.21,553.54,2387.98,1.3,47.33,2388.03,8148.72,8.4401,0
100_good,117,-0.0048,-0.0003,642.39,1582.52,554.43,2388.02,1.3,47.2,2388.04,8145.17,8.4039,0
100_good,118,0.0007,-0.0004,641.96,1589.07,554.1,2387.99,1.3,47.42,2388.01,8147.97,8.3881,0
100_good,119,-0.0007,0.0002,642.04,1582.05,553.17,2388.05,1.3,47.34,2388.03,8150.69,8.4256,0
100_good,120,0.003,-0.0004,642.65,1586.99,554.79,2388.05,1.3,47.21,2388.06,8146.98,8.4382,0
100_good,121,-0.0013,-0.0002,642.57,1577.1,554.12,2388.01,1.3,47.27,2388.01,8153.07,8.4347,0
100_good,122,0.0027,0.0004,642.57,1583.02,554.49,2388.03,1.3,47.14,2388.04,8146.68,8.452,0
100_good,123,0.0004,-0.0005,642.54,1582.3,554.36,2388.01,1.3,47.43,2388.04,8148.42,8.4123,0
100_good,124,0.0018,-0.0,642.66,1582.68,554.23,2388.01,1.3,47.3,2388.03,8151.24,8.4279,0
100_good,125,-0.002,0.0,642.07,1593.46,554.0,2388.02,1.3,47.37,2388.01,8151.9,8.4559,0
100_good,126,0.0,-0.0002,641.94,1592.11,554.2,2388.03,1.3,47.29,2388.02,8154.74,8.3621,0
100_good,127,0.0002,-0.0002,642.41,1584.35,554.11,2388.05,1.3,47.28,2388.0,8151.59,8.4163,0
100_good,128,-0.0008,-0.0001,642.83,1585.32,553.96,2388.05,1.3,47.34,2388.05,8151.9,8.4486,0
100_good,129,-0.0,0.0,642.13,1595.0,553.91,2388.01,1.3,47.32,2388.06,8150.53,8.4214,0
100_good,130,-0.0018,0.0003,642.08,1592.12,553.63,2388.02,1.3,47.58,2388.0,8151.68,8.406,0
100_good,131,-0.0007,0.0002,642.16,1587.67,554.19,2388.02,1.3,47.41,2388.06,8151.31,8.4223,0
100_good,132,0.0004,0.0005,642.14,1590.51,553.55,2388.06,1.3,47.47,2388.05,8152.06,8.3927,0
100_good,133,-0.0008,0.0004,642.95,1591.84,554.49,2388.06,1.3,47.17,2388.0,8152.29,8.4227,0
100_good,134,-0.0005,0.0005,642.29,1582.69,554.09,2388.02,1.3,47.36,2388.02,8155.43,8.4327,0
100_good,135,-0.0016,-0.0002,642.7,1592.92,554.17,2388.03,1.3,47.41,2388.02,8151.79,8.4143,0
100_good,136,0.0048,-0.0002,641.98,1584.29,554.37,2388.01,1.3,47.47,2388.03,8154.2,8.3951,0
100_good,137,-0.0016,0.0002,642.15,1591.6,554.45,2388.01,1.3,47.5,2388.02,8157.58,8.3445,0
100_good,138,-0.0012,0.0003,642.06,1587.81,553.34,2387.99,1.3,47.45,2388.02,8154.07,8.4197,0
100_good,139,0.0009,0.0003,642.43,1584.82,554.19,2387.98,1.3,47.4,2388.04,8153.76,8.3967,0
100_good,140,0.002,0.0002,643.08,1585.55,553.75,2388.03,1.3,47.23,2388.1,8155.53,8.3895,0
100_good,141,-0.0032,0.0005,642.59,1587.4,554.44,2388.03,1.3,47.25,2388.0,8158.28,8.4322,0
100_good,142,0.0021,0.0002,642.58,1584.98,553.82,2388.04,1.3,47.37,2388.02,8151.69,8.4665,0
100_good,143,-0.0018,-0.0004,642.56,1583.0,553.3,2388.08,1.3,47.35,2388.06,8161.97,8.4258,0
100_good,144,-0.0005,0.0002,642.63,1585.92,554.54,2388.04,1.3,47.26,2388.04,8157.59,8.4253,0
100_good,145,-0.0042,-0.0002,642.34,1589.99,553.45,2388.02,1.3,47.27,2388.04,8162.64,8.4193,0
100_good,146,0.0004,-0.0004,642.05,1591.24,554.51,2387.99,1.3,47.3,2388.08,8158.99,8.4173,0
100_good,147,0.0002,0.0003,642.81,1582.2,554.2,2388.05,1.3,47.43,2388.06,8160.11,8.4471,0
100_good,148,-0.0019,-0.0,642.42,1590.46,554.26,2388.02,1.3,47.3,2388.02,8163.24,8.4074,0
10_good,1,-0.0017,-0.0,642.07,1584.19,554.53,2388.01,1.3,47.32,2388.01,8145.46,8.4039,0
10_good,2,0.0061,-0.0001,642.32,1584.48,554.43,2387.98,1.3,47.17,2388.03,8146.38,8.3981,0
10_good,3,0.0027,-0.0003,641.77,1574.22,554.38,2388.04,1.3,46.95,2388.0,8141.22,8.3763,0
10_good,4,-0.0028,-0.0004,642.83,1583.9,554.5,2388.04,1.3,47.45,2387.97,8144.96,8.425,0
10_good,5,0.0013,-0.0002,642.04,1585.22,554.52,2388.01,1.3,47.34,2388.0,8142.12,8.4127,0
10_good,6,-0.0007,-0.0001,641.87,1583.49,554.44,2388.02,1.3,47.35,2387.98,8141.46,8.3845,0
10_good,7,0.0006,-0.0002,642.02,1580.84,553.42,2387.96,1.3,47.33,2388.0,8148.3,8.3737,0
10_good,8,0.0024,0.0002,641.62,1583.96,554.99,2387.99,1.3,47.1,2388.05,8142.62,8.3911,0
10_good,9,-0.0006,-0.0004,642.21,1586.17,554.78,2388.01,1.3,47.24,2388.0,8142.14,8.414,0
10_good,10,-0.0008,-0.0005,641.77,1584.88,555.02,2388.02,1.3,47.14,2388.04,8142.58,8.3729,0
10_good,11,0.0017,0.0004,642.12,1586.52,554.57,2388.0,1.3,47.14,2388.05,8141.49,8.4277,0
10_good,12,-0.0025,-0.0003,642.59,1581.95,554.79,2388.09,1.3,46.93,2388.04,8142.06,8.3964,0
10_good,13,0.0005,0.0003,642.08,1584.2,554.07,2388.01,1.3,47.08,2388.0,8139.92,8.4258,0
10_good,14,-0.0008,0.0005,642.02,1585.94,554.1,2388.01,1.3,47.27,2388.02,8144.93,8.4189,0
10_good,15,-0.0,0.0003,642.31,1583.59,554.23,2387.99,1.3,47.18,2388.03,8145.82,8.3776,0
10_good,16,0.0006,0.0003,641.96,1583.65,554.05,2388.02,1.3,47.27,2387.97,8142.63,8.4339,0
10_good,17,0.0035,0.0004,642.16,1580.97,554.27,2388.0,1.3,47.16,2388.03,8145.1,8.3876,0
10_good,18,0.0014,-0.0004,641.89,1583.75,554.26,2387.99,1.3,47.27,2387.99,8145.15,8.3894,0
10_good,19,-0.0007,0.0004,642.23,1577.02,554.46,2387.96,1.3,47.08,2388.02,8142.63,8.4382,0
10_good,20,-0.0028,0.0001,643.09,1590.09,554.04,2387.99,1.3,47.2,2388.06,8139.73,8.3724,0
10_good,21,0.0037,0.0005,642.34,1584.29,554.65,2388.04,1.3,47.14,2388.04,8141.83,8.3889,0
10_good,22,0.0042,0.0004,642.46,1581.44,554.62,2388.05,1.3,47.16,2388.04,8146.97,8.3975,0
10_good,23,0.0018,0.0004,642.18,1586.27,554.53,2387.98,1.3,47.34,2388.01,8138.79,8.4197,0
10_good,24,0.0041,-0.0001,642.66,1577.57,554.25,2388.03,1.3,47.21,2388.0,8137.88,8.3569,0
10_good,25,-0.0004,-0.0002,642.45,1580.95,554.16,2388.0,1.3,47.17,2388.02,8146.02,8.367,0
10_good,26,0.002,0.0004,641.83,1577.72,553.76,2388.09,1.3,47.38,2387.99,8145.24,8.3825,0
10_good,27,-0.0012,0.0002,642.14,1575.32,554.73,2388.03,1.3,47.26,2388.0,8145.59,8.4219,0
10_good,28,-0.0017,-0.0004,642.35,1580.62,554.13,2388.05,1.3,47.45,2388.01,8146.98,8.406,0
10_good,29,-0.0007,0.0002,642.11,1585.14,554.03,2388.03,1.3,47.18,2387.97,8144.96,8.4051,0
10_good,30,0.002,-0.0001,642.78,1582.06,553.8,2387.99,1.3,47.28,2388.0,8144.36,8.4195,0
10_good,31,-0.0009,0.0002,641.93,1588.23,554.62,2387.98,1.3,47.28,2388.01,8138.61,8.4022,0
10_good,32,0.0008,-0.0003,642.13,1591.31,553.47,2388.0,1.3,47.22,2388.02,8141.93,8.4093,0
